Alaska	1	70.0187	-141.0205
Alaska	2	70.1292	-141.7291
Alaska	3	70.4515	-144.8163
Alaska	4	70.7471	-148.4583
Alaska	5	70.7923	-151.1609
Alaska	6	71.147	-152.6221
Alaska	7	71.1185	-153.9954
Alaska	8	71.4307	-154.8853
Alaska	9	71.5232	-156.7529
Alaska	10	71.2796	-157.9449
Alaska	11	71.2249	-159.6313
Alaska	12	70.6363	-161.8671
Alaska	13	70.0843	-163.5809
Alaska	14	69.3028	-165.2399
Alaska	15	69.1782	-166.8768
Alaska	16	68.3344	-168.0414
Alaska	17	67.6844	-165.9155
Alaska	18	67.2933	-164.6082
Alaska	19	66.7789	-164.0149
Alaska	20	66.581	-165.7507
Alaska	21	66.2867	-167.5745
Alaska	22	66.0269	-168.9862
Alaska	23	65.497	-168.9478
Alaska	24	65.042	-167.4756
Alaska	25	64.3922	-167.0142
Alaska	26	64.0554	-165.7343
Alaska	27	64.0193	-163.2294
Alaska	28	63.9615	-162.1143
Alaska	29	63.6877	-163.6029
Alaska	30	63.453	-165.3717
Alaska	31	62.4133	-166.3715
Alaska	32	61.6534	-166.9867
Alaska	33	60.8556	-166.4429
Alaska	34	60.5357	-167.8381
Alaska	35	59.5482	-167.7118
Alaska	36	59.4115	-165.8002
Alaska	37	59.3696	-164.5972
Alaska	38	59.1168	-162.8558
Alaska	39	58.1185	-162.5427
Alaska	40	58.1359	-160.6421
Alaska	41	58.0285	-159.505
Alaska	42	57.6336	-158.8953
Alaska	43	56.909	-159.906
Alaska	44	56.3926	-160.6531
Alaska	45	56.2342	-161.8835
Alaska	46	55.724	-162.9822
Alaska	47	55.2478	-164.3994
Alaska	48	54.7753	-165.3168
Alaska	49	54.1463	-167.1075
Alaska	50	53.5632	-168.5852
Alaska	51	53.1402	-169.9146
Alaska	52	52.5964	-169.5959
Alaska	53	52.9089	-168.2227
Alaska	54	54.2139	-162.7734
Alaska	55	54.6786	-159.1452
Alaska	56	55.6567	-155.4634
Alaska	57	57.351	-152.14
Alaska	58	59.2209	-150.8203
Alaska	59	59.7695	-147.4461
Alaska	60	60.3521	-145.985
Alaska	61	59.8917	-144.1544
Alaska	62	59.8172	-141.6811
Alaska	63	59.5225	-140.5124
Alaska	64	59.0292	-138.8548
Alaska	65	57.9032	-136.8526
Alaska	66	56.9157	-136.0725
Alaska	67	56.1555	-134.9794
Alaska	68	55.3237	-134.0057
Alaska	69	54.6341	-133.6418
Alaska	70	54.7135	-130.6261
Alaska	71	55.2869	-129.993
Alaska	72	55.9869	-130.0108
Alaska	73	56.1057	-130.1083
Alaska	74	56.6086	-131.5887
Alaska	75	57.8404	-132.8755
Alaska	76	58.7276	-133.8423
